# x	c	Phi
# 
0.000000000000000000e+00 7.020658914193591560e-01 6.401904840050012119e-03
2.040816326530612290e+00 7.004501884409014556e-01 5.201973259682671907e-02
4.081632653061224580e+00 6.976472522881332905e-01 9.818155666811903548e-02
6.122448979591837315e+00 6.935953299759332058e-01 1.417550035907383932e-01
8.163265306122449161e+00 6.866359466367917275e-01 1.811885372510384784e-01
1.020408163265306101e+01 6.658412882845561320e-01 2.263920423154597295e-01
1.224489795918367463e+01 6.370793213483455508e-01 2.658004298419170408e-01
1.428571428571428648e+01 6.171063108900541883e-01 2.991543410676102410e-01
1.632653061224489832e+01 6.140288954971135915e-01 3.310940584379706841e-01
1.836734693877551194e+01 6.337735631470811093e-01 3.600845513811311571e-01
2.040816326530612201e+01 6.608445884701916739e-01 3.881057683108737333e-01
2.244897959183673564e+01 6.811377598322455595e-01 4.133348085200249100e-01
2.448979591836734926e+01 6.901518913295103808e-01 4.354496181046217385e-01
2.653061224489795933e+01 6.928660539329541956e-01 4.555256889344729831e-01
2.857142857142857295e+01 6.831179290988264041e-01 4.730667817965751865e-01
3.061224489795918302e+01 6.260107759204573963e-01 4.878474522154850890e-01
3.265306122448979664e+01 4.715738487881699914e-01 5.006853248732962003e-01
3.469387755102040671e+01 3.480662498908874691e-01 5.114374190775472506e-01
3.673469387755102389e+01 3.129452599629816700e-01 5.211548084172217266e-01
3.877551020408163396e+01 3.056067635374569713e-01 5.290387548320520938e-01
4.081632653061224403e+01 3.042331978281291871e-01 5.356582264155911322e-01
4.285714285714286120e+01 3.038824861296997026e-01 5.408415256507876911e-01
4.489795918367347127e+01 3.036201491270885122e-01 5.447488909652564715e-01
4.693877551020408134e+01 3.033364886468571942e-01 5.467505631965455803e-01
4.897959183673469852e+01 3.030134571483103501e-01 5.468026901658757932e-01
5.102040816326530859e+01 3.026292633770232832e-01 5.447873486477284866e-01
5.306122448979591866e+01 3.022100574570276144e-01 5.411894568080266588e-01
5.510204081632652873e+01 3.019088656029118578e-01 5.359767874249553588e-01
5.714285714285714590e+01 3.026621971023153446e-01 5.295176200246748399e-01
5.918367346938775597e+01 3.084549028910663071e-01 5.205691896439182953e-01
6.122448979591836604e+01 3.381148268037370563e-01 5.092039559579012442e-01
6.326530612244898322e+01 4.413513159845717237e-01 4.967504028398174731e-01
6.530612244897959329e+01 5.995303027012968133e-01 4.809454026524372927e-01
6.734693877551021046e+01 6.595507028183495990e-01 4.631479677575897624e-01
6.938775510204081343e+01 6.358941004763070115e-01 4.434371215376087250e-01
7.142857142857143060e+01 5.274380429277406579e-01 4.215199848056579990e-01
7.346938775510204778e+01 4.084237907667503387e-01 4.001067943487892076e-01
7.551020408163265074e+01 3.447353534002278175e-01 3.779100363956990338e-01
7.755102040816326792e+01 3.196700929259868040e-01 3.559061840378610619e-01
7.959183673469388509e+01 3.137985461652143537e-01 3.370412716619410332e-01
8.163265306122448806e+01 3.138190797430492340e-01 3.204448814866448503e-01
8.367346938775510523e+01 3.201044099300500712e-01 3.079326215359293184e-01
8.571428571428572241e+01 3.227087273133634748e-01 3.028238354329315651e-01
8.775510204081632537e+01 3.212598330782303613e-01 3.085641142818438265e-01
8.979591836734694255e+01 3.202719259191217915e-01 3.233727047977935642e-01
9.183673469387755972e+01 3.211118203892083800e-01 3.481327071632106529e-01
9.387755102040816269e+01 3.138099442192193167e-01 3.971699932575715186e-01
9.591836734693877986e+01 3.056153785073094098e-01 4.805075206259378229e-01
9.795918367346939704e+01 2.976277650626632520e-01 5.936681014663587330e-01
1.000000000000000000e+02 2.920367799331854419e-01 7.401371923668340624e-01
