# x	c	Phi
# 
0.000000000000000000e+00 6.505201204616154476e-01 6.221930871260676968e-03
2.040816326530612290e+00 6.456410242947773215e-01 5.063622928961308139e-02
4.081632653061224580e+00 6.271954636001809691e-01 9.569879605790947152e-02
6.122448979591837315e+00 5.725712048548124988e-01 1.384094948810277170e-01
8.163265306122449161e+00 4.832656910009333062e-01 1.773585015395145736e-01
1.020408163265306101e+01 3.972392704120347728e-01 2.227831285764903801e-01
1.224489795918367463e+01 3.736192016742284072e-01 2.631247589215135463e-01
1.428571428571428648e+01 3.751582750192560822e-01 2.978127427283283057e-01
1.632653061224489832e+01 3.887108428842311336e-01 3.315341544410993491e-01
1.836734693877551194e+01 4.184802863255235872e-01 3.625695711231025631e-01
2.040816326530612201e+01 4.723644398450984050e-01 3.930862792317219578e-01
2.244897959183673564e+01 5.458226738976960091e-01 4.211112082087277719e-01
2.448979591836734926e+01 6.045809092466856161e-01 4.462535795187769772e-01
2.653061224489795933e+01 6.368789053789414289e-01 4.696443376335242559e-01
2.857142857142857295e+01 6.496250133252328141e-01 4.906927537423680930e-01
3.061224489795918302e+01 6.546560878494454006e-01 5.090744498723304146e-01
3.265306122448979664e+01 6.545789070310831237e-01 5.254639211389652287e-01
3.469387755102040671e+01 6.371160229393642016e-01 5.390469305373275510e-01
3.673469387755102389e+01 5.708602232646878827e-01 5.506566677048583269e-01
3.877551020408163396e+01 4.538850621889589099e-01 5.595062641745220944e-01
4.081632653061224403e+01 3.737462901862330655e-01 5.665288066981223336e-01
4.285714285714286120e+01 3.498057856141266186e-01 5.717551475863333899e-01
4.489795918367347127e+01 3.470336681769312648e-01 5.753494741712448235e-01
4.693877551020408134e+01 3.498259197181813884e-01 5.766940805093068168e-01
4.897959183673469852e+01 3.526077784838995144e-01 5.757664861583612348e-01
5.102040816326530859e+01 3.517445501084229265e-01 5.724549774257680079e-01
5.306122448979591866e+01 3.500937916323891286e-01 5.672514240956963993e-01
5.510204081632652873e+01 3.530587334400334121e-01 5.600947820420119072e-01
5.714285714285714590e+01 3.758156328144488523e-01 5.515462970451174840e-01
5.918367346938775597e+01 4.393077655481513744e-01 5.402303107188867193e-01
6.122448979591836604e+01 5.335297966308901740e-01 5.259761682445397435e-01
6.326530612244898322e+01 5.860808220826944082e-01 5.102402864846210528e-01
6.530612244897959329e+01 5.657246989170847673e-01 4.905527851264571693e-01
6.734693877551021046e+01 4.829414750140126888e-01 4.692867010133959238e-01
6.938775510204081343e+01 4.058244534553954175e-01 4.469723652051066365e-01
7.142857142857143060e+01 3.693275093274684950e-01 4.233190171200131302e-01
7.346938775510204778e+01 3.567018073263438227e-01 4.009645522105327320e-01
7.551020408163265074e+01 3.515680976457652984e-01 3.781310153321756906e-01
7.755102040816326792e+01 3.444821441035249010e-01 3.557368297744122887e-01
7.959183673469388509e+01 3.420525953002072073e-01 3.368309044777013650e-01
8.163265306122448806e+01 3.597729698430235379e-01 3.206205474883124240e-01
8.367346938775510523e+01 4.438434381570612319e-01 3.089706938202116948e-01
8.571428571428572241e+01 5.879273913315778977e-01 3.050618696358647353e-01
8.775510204081632537e+01 6.610308338869608225e-01 3.118211928815350920e-01
8.979591836734694255e+01 6.782628769691544379e-01 3.270969654846396235e-01
9.183673469387755972e+01 6.651631193770068950e-01 3.517284214737904646e-01
9.387755102040816269e+01 5.873512147049589904e-01 4.001966799158900856e-01
9.591836734693877986e+01 4.152412363708984366e-01 4.825323972710592324e-01
9.795918367346939704e+01 3.212640455819094076e-01 5.946182605848826519e-01
1.000000000000000000e+02 3.000774437917447246e-01 7.402281431483727081e-01
