# x	c	Phi
# 
0.000000000000000000e+00 7.005291648405242988e-01 6.286216505702248158e-03
2.040816326530612290e+00 6.971995952799804330e-01 5.104717348846540825e-02
4.081632653061224580e+00 6.850972559288724950e-01 9.628100837772397835e-02
6.122448979591837315e+00 6.406932321068637970e-01 1.389166966444599638e-01
8.163265306122449161e+00 5.307020814054337343e-01 1.775405320604040160e-01
1.020408163265306101e+01 3.709578460728100713e-01 2.222248279026877993e-01
1.224489795918367463e+01 3.179383063329689896e-01 2.618722777804105006e-01
1.428571428571428648e+01 3.063104503599247685e-01 2.959991969248804700e-01
1.632653061224489832e+01 3.088958057288732628e-01 3.292432545888589468e-01
1.836734693877551194e+01 3.293138612767944617e-01 3.599708510878515400e-01
2.040816326530612201e+01 4.001635396527573607e-01 3.903426827930533971e-01
2.244897959183673564e+01 5.382213381591055557e-01 4.183518250683259110e-01
2.448979591836734926e+01 6.446964701998060265e-01 4.434195590760398042e-01
2.653061224489795933e+01 6.844738624184936171e-01 4.665441491428251042e-01
2.857142857142857295e+01 6.946251234347419201e-01 4.871195451344275673e-01
3.061224489795918302e+01 6.954063237467658087e-01 5.048379507240760011e-01
3.265306122448979664e+01 6.867134889044602675e-01 5.203829552537574399e-01
3.469387755102040671e+01 6.429088986951970730e-01 5.329937932638264542e-01
3.673469387755102389e+01 5.132763967455972187e-01 5.435760458137798290e-01
3.877551020408163396e+01 3.726060451467486656e-01 5.515992175685322518e-01
4.081632653061224403e+01 3.208797976266632435e-01 5.580864114441950186e-01
4.285714285714286120e+01 3.106660437514700002e-01 5.629925384640745989e-01
4.489795918367347127e+01 3.087508936731719889e-01 5.664138845691344404e-01
4.693877551020408134e+01 3.084253581720200477e-01 5.677209569264046740e-01
4.897959183673469852e+01 3.081358120723302618e-01 5.668800311699279115e-01
5.102040816326530859e+01 3.070092083604188393e-01 5.637629199161844351e-01
5.306122448979591866e+01 3.056275172744011837e-01 5.588570039353130126e-01
5.510204081632652873e+01 3.047438788233798324e-01 5.521019214199529568e-01
5.714285714285714590e+01 3.073421368689868149e-01 5.440178964923726435e-01
5.918367346938775597e+01 3.251945506925318918e-01 5.333141432694648021e-01
6.122448979591836604e+01 4.050264893567074309e-01 5.199815827652742861e-01
6.326530612244898322e+01 5.636321037782797694e-01 5.054100756379197312e-01
6.530612244897959329e+01 6.549223101339888276e-01 4.868724114303684125e-01
6.734693877551021046e+01 6.549952185168709251e-01 4.663160866725931109e-01
6.938775510204081343e+01 5.738684801374970279e-01 4.440771664322262224e-01
7.142857142857143060e+01 4.301946309873988517e-01 4.199609711591275607e-01
7.346938775510204778e+01 3.444233379817230323e-01 3.970012792511862787e-01
7.551020408163265074e+01 3.130414857939062268e-01 3.736269158215889119e-01
7.755102040816326792e+01 3.044575399097992907e-01 3.508787875683002100e-01
7.959183673469388509e+01 3.040110161650208531e-01 3.317923671275237463e-01
8.163265306122448806e+01 3.083955061190966629e-01 3.154893834585376644e-01
8.367346938775510523e+01 3.289293333693904531e-01 3.038343253482509443e-01
8.571428571428572241e+01 4.064009347833233976e-01 3.001224190473030795e-01
8.775510204081632537e+01 5.522494448804582401e-01 3.074016711661932688e-01
8.979591836734694255e+01 6.190976484529159274e-01 3.232950372061598188e-01
9.183673469387755972e+01 5.740324793395304992e-01 3.484922533780077658e-01
9.387755102040816269e+01 4.424094087128515596e-01 3.975639714940014113e-01
9.591836734693877986e+01 3.315320403607466826e-01 4.807421587148999476e-01
9.795918367346939704e+01 2.983221200488262448e-01 5.937491196532657112e-01
1.000000000000000000e+02 2.882551749860705059e-01 7.401432113117202283e-01
