# x	c	Phi
# 
0.000000000000000000e+00 7.151799377246691458e-01 6.460713315587328712e-03
2.040816326530612290e+00 7.138706496959058567e-01 5.247308715995786799e-02
4.081632653061224580e+00 7.119497437757754676e-01 9.899870137881108811e-02
6.122448979591837315e+00 7.100374163766762781e-01 1.428284101385693672e-01
8.163265306122449161e+00 7.083169204876054170e-01 1.823482885195522041e-01
1.020408163265306101e+01 7.064323245236187043e-01 2.273513685160488962e-01
1.224489795918367463e+01 7.048709877153080949e-01 2.659868424116664798e-01
1.428571428571428648e+01 7.036394106882029043e-01 2.980104531518404376e-01
1.632653061224489832e+01 7.024527176743393664e-01 3.279223171669224390e-01
1.836734693877551194e+01 7.007930898735940106e-01 3.542299231238723034e-01
2.040816326530612201e+01 6.946746700811767816e-01 3.788264532775990068e-01
2.244897959183673564e+01 6.649220890085723035e-01 4.002053153329714896e-01
2.448979591836734926e+01 5.567169530275482003e-01 4.184190633598483533e-01
2.653061224489795933e+01 3.923616402595660468e-01 4.348236121639959539e-01
2.857142857142857295e+01 3.199817602866061317e-01 4.496475908125961984e-01
3.061224489795918302e+01 3.040361038757335432e-01 4.629734446266584591e-01
3.265306122448979664e+01 3.006486401184017554e-01 4.753531287090554946e-01
3.469387755102040671e+01 3.000062925966627825e-01 4.862222813334249327e-01
3.673469387755102389e+01 2.997782450957075517e-01 4.961606121825037907e-01
3.877551020408163396e+01 2.996840526396594706e-01 5.042874211441791266e-01
4.081632653061224403e+01 2.996342856008068489e-01 5.111664343858188797e-01
4.285714285714286120e+01 2.996153613418607309e-01 5.166960681445691428e-01
4.489795918367347127e+01 2.996212662415204675e-01 5.211239596929958529e-01
4.693877551020408134e+01 2.996308137907496838e-01 5.238467863834098681e-01
4.897959183673469852e+01 2.996279089821523578e-01 5.248181729293291964e-01
5.102040816326530859e+01 2.995915520590315961e-01 5.239312061199310477e-01
5.306122448979591866e+01 2.995994096655135719e-01 5.216624528249100834e-01
5.510204081632652873e+01 2.999076272830650813e-01 5.180294690976265937e-01
5.714285714285714590e+01 3.017837572972558169e-01 5.132975785981220840e-01
5.918367346938775597e+01 3.102457634415736742e-01 5.063295079304783730e-01
6.122448979591836604e+01 3.459074711655957812e-01 4.972535866232360990e-01
6.326530612244898322e+01 4.558708620421249580e-01 4.871464602148777856e-01
6.530612244897959329e+01 6.109403859494464406e-01 4.742146353763587174e-01
6.734693877551021046e+01 6.782302523405430161e-01 4.594806887114018523e-01
6.938775510204081343e+01 6.936772291377168997e-01 4.430590234406178163e-01
7.142857142857143060e+01 6.970292135701360303e-01 4.246792769080467433e-01
7.346938775510204778e+01 6.974506261266296692e-01 4.063107360780124355e-01
7.551020408163265074e+01 6.972954154276762573e-01 3.867553392914293009e-01
7.755102040816326792e+01 6.967793756262629090e-01 3.668403160004310437e-01
7.959183673469388509e+01 6.957760966781447731e-01 3.491932727082207588e-01
8.163265306122448806e+01 6.926180747245779257e-01 3.330538850916835991e-01
8.367346938775510523e+01 6.802662937964953915e-01 3.201870050706819848e-01
8.571428571428572241e+01 6.348981929994270690e-01 3.140308543074331049e-01
8.775510204081632537e+01 5.246699018162445105e-01 3.182308015949593671e-01
8.979591836734694255e+01 4.147757139879472144e-01 3.312794233094346064e-01
9.183673469387755972e+01 3.569354545888857588e-01 3.543365260723793653e-01
9.387755102040816269e+01 3.206533115592625216e-01 4.016730228080893084e-01
9.591836734693877986e+01 3.014704648662225317e-01 4.833115556416184289e-01
9.795918367346939704e+01 2.916010977421282235e-01 5.950303863714350161e-01
1.000000000000000000e+02 2.859686114395846301e-01 7.402665762707363317e-01
